Date,JYSOC_Open,JYSOC_High,JYSOC_Low,JYSOC_Close,JYSOC_SMAVG (50)  on Close,JYSOC_SMAVG (100)  on Close,JYSOC_SMAVG (200)  on Close,JYSO2_Open,JYSO2_High,JYSO2_Low,JYSO2_Close,JYSO2_SMAVG (50)  on Close,JYSO2_SMAVG (100)  on Close,JYSO2_SMAVG (200)  on Close,JYSO5_Open,JYSO5_High,JYSO5_Low,JYSO5_Close,JYSO5_SMAVG (50)  on Close,JYSO5_SMAVG (100)  on Close,JYSO5_SMAVG (200)  on Close,JYSO10_Open,JYSO10_High,JYSO10_Low,JYSO10_Close,JYSO10_SMAVG (50)  on Close,JYSO10_SMAVG (100)  on Close,JYSO10_SMAVG (200)  on Close,JYSO30_Open,JYSO30_High,JYSO30_Low,JYSO30_Close,JYSO30_SMAVG (50)  on Close,JYSO30_SMAVG (100)  on Close,JYSO30_SMAVG (200)  on Close
2024-06-18,0.098145,0.098569,0.096,0.096,0.106665,0.075934,0.029567,0.36,0.368793,0.35125,0.35625,0.392454,0.331303,0.274836,0.6,0.606319,0.588729,0.59125,0.63392,0.573785,0.549182,0.9625,0.972562,0.953733,0.9575,1.001579,0.942811,0.936099,1.645035,1.663777,1.6375,1.64375,1.693805,1.607222,1.573051
2024-06-19,0.096,0.098125,0.096,0.098,0.106987,0.076874,0.030316,0.36375,0.365,0.355,0.36125,0.392579,0.33269,0.275649,0.5975,0.607,0.58873,0.595,0.63488,0.574723,0.549751,0.9625,0.974004,0.9425,0.9525,1.002629,0.943236,0.936455,1.65375,1.67,1.62993,1.63375,1.69474,1.607872,1.573833
2024-06-20,0.098,0.1025,0.097482,0.102445,0.107316,0.077866,0.031085,0.3575,0.3725,0.356246,0.37,0.392754,0.334203,0.276448,0.59,0.6175,0.58874,0.615,0.63498,0.576023,0.550376,0.94875,0.982511,0.948728,0.9825,1.002779,0.944261,0.936968,1.635,1.66625,1.619,1.66625,1.694665,1.609297,1.574907
2024-06-21,0.102445,0.109,0.10186,0.109,0.107739,0.078908,0.031886,0.36125,0.392535,0.361249,0.385005,0.393329,0.33569,0.277311,0.6125,0.637506,0.60875,0.63375,0.635655,0.577223,0.551051,0.9825,0.998778,0.961,0.9875,1.003329,0.945036,0.937449,1.655,1.681275,1.61875,1.673755,1.69544,1.610572,1.575926
2024-06-24,0.10875,0.119581,0.105939,0.118,0.108349,0.080033,0.032745,0.37625,0.3975,0.37625,0.395,0.393879,0.337115,0.278267,0.61,0.63875,0.60619,0.63625,0.635905,0.57826,0.551757,0.97125,1.001391,0.970614,0.9975,1.003554,0.945661,0.93803,1.65875,1.693811,1.65,1.69375,1.69604,1.611822,1.577129
2024-06-25,0.11625,0.118523,0.115495,0.11625,0.108874,0.081144,0.033595,0.38625,0.39625,0.3825,0.395,0.394079,0.33864,0.279222,0.625625,0.63875,0.623744,0.6375,0.636055,0.579473,0.55247,0.98875,1.00379,0.987495,0.995,1.003529,0.946499,0.93859,1.68875,1.703803,1.6475,1.66375,1.695885,1.612985,1.578167
2024-06-26,0.1165,0.119556,0.114941,0.118755,0.109374,0.082257,0.034457,0.38625,0.41125,0.386161,0.40875,0.394734,0.340228,0.280235,0.6275,0.665,0.627499,0.661265,0.63712,0.580905,0.553257,0.99375,1.036273,0.993672,1.0259,1.004507,0.94762,0.939257,1.6975,1.738745,1.6965,1.735,1.697035,1.614897,1.579492
2024-06-27,0.118755,0.130787,0.116231,0.127535,0.110044,0.08347,0.035375,0.395,0.435625,0.39375,0.425,0.395559,0.342015,0.281347,0.65875,0.690163,0.658746,0.67125,0.638745,0.582418,0.554114,1.035,1.067552,1.0325,1.0325,1.005507,0.948845,0.940001,1.72,1.767551,1.71875,1.72875,1.69861,1.61676,1.580823
2024-06-28,0.12875,0.129461,0.11875,0.121,0.110584,0.08459,0.036186,0.43,0.435014,0.414995,0.43125,0.397134,0.343728,0.282397,0.67875,0.693841,0.664984,0.6875,0.640545,0.583993,0.554895,1.0475,1.07002,1.036238,1.0625,1.007787,0.950283,0.940757,1.75625,1.760039,1.72625,1.7525,1.70136,1.61876,1.582198
2024-07-01,0.12,0.126808,0.119688,0.126805,0.111195,0.085745,0.037045,0.423,0.445,0.423,0.43875,0.398389,0.345516,0.283522,0.6775,0.707506,0.67375,0.70625,0.642371,0.585755,0.555832,1.05,1.08254,1.05,1.0825,1.010007,0.951921,0.94172,1.740032,1.772504,1.740032,1.7725,1.704035,1.620947,1.583736
