Date,SHIF1Y_Open,SHIF1Y_High,SHIF1Y_Low,SHIF1Y_Close,SHIF1Y_SMAVG (50)  on Close,SHIF1Y_SMAVG (100)  on Close,SHIF1Y_SMAVG (200)  on Close,SHIF3M_Open,SHIF3M_High,SHIF3M_Low,SHIF3M_Close,SHIF3M_SMAVG (50)  on Close,SHIF3M_SMAVG (100)  on Close,SHIF3M_SMAVG (200)  on Close
2015-11-24,3.3503,3.3503,3.3503,3.3503,3.3884,3.3912,3.869,3.05,3.05,3.05,3.05,3.1022,3.1196,3.6225
2015-11-25,3.35,3.35,3.35,3.35,3.3872,3.3909,3.8618,3.05,3.05,3.05,3.05,3.1013,3.118,3.6132
2015-11-26,3.3503,3.3503,3.3503,3.3503,3.386,3.3905,3.8546,3.05,3.05,3.05,3.05,3.1004,3.1163,3.6038
2015-11-27,3.35,3.35,3.35,3.35,3.3848,3.3901,3.8475,3.05,3.05,3.05,3.05,3.0992,3.1148,3.5944
2015-11-30,3.35,3.35,3.35,3.35,3.3835,3.3898,3.8403,3.05,3.05,3.05,3.05,3.098,3.1133,3.5852
2015-12-01,3.35,3.35,3.35,3.35,3.3823,3.3894,3.8332,3.047,3.047,3.047,3.047,3.0966,3.1118,3.5759
2015-12-02,3.35,3.35,3.35,3.35,3.381,3.389,3.826,3.042,3.042,3.042,3.042,3.0949,3.1104,3.5666
2015-12-03,3.35,3.35,3.35,3.35,3.3798,3.3887,3.8189,3.043,3.043,3.043,3.043,3.0931,3.109,3.5573
2015-12-04,3.35,3.35,3.35,3.35,3.3785,3.3883,3.8117,3.043,3.043,3.043,3.043,3.0911,3.1077,3.548
2015-12-07,3.35,3.35,3.35,3.35,3.3772,3.3879,3.8045,3.048,3.048,3.048,3.048,3.0892,3.1064,3.5387
2015-12-08,3.35,3.35,3.35,3.35,3.376,3.3875,3.7974,3.051,3.051,3.051,3.051,3.0872,3.1053,3.5295
2015-12-09,3.35,3.35,3.35,3.35,3.3747,3.3871,3.7902,3.047,3.047,3.047,3.047,3.0852,3.1042,3.5202
2015-12-10,3.35,3.35,3.35,3.35,3.3735,3.3867,3.783,3.046,3.046,3.046,3.046,3.083,3.1031,3.511
2015-12-11,3.35,3.35,3.35,3.35,3.3722,3.3863,3.7758,3.051,3.051,3.051,3.051,3.081,3.1021,3.5017
2015-12-14,3.35,3.35,3.35,3.35,3.3709,3.3859,3.7686,3.0461,3.0461,3.0461,3.0461,3.0789,3.101,3.4925
2015-12-15,3.35,3.35,3.35,3.35,3.3697,3.3854,3.7614,3.051,3.051,3.051,3.051,3.0768,3.1,3.4832
2015-12-16,3.35,3.35,3.35,3.35,3.3684,3.385,3.7542,3.0475,3.0475,3.0475,3.0475,3.0747,3.0989,3.4739
2015-12-17,3.35,3.35,3.35,3.35,3.3671,3.3846,3.7471,3.0481,3.0481,3.0481,3.0481,3.0725,3.0978,3.4647
2015-12-18,3.35,3.35,3.35,3.35,3.3658,3.3842,3.7399,3.0501,3.0501,3.0501,3.0501,3.0702,3.0967,3.4555
2015-12-21,3.3503,3.3503,3.3503,3.3503,3.3646,3.3838,3.7327,3.0551,3.0551,3.0551,3.0551,3.0679,3.0956,3.4463
2015-12-22,3.35,3.35,3.35,3.35,3.3633,3.3834,3.7256,3.0611,3.0611,3.0611,3.0611,3.0654,3.0946,3.4371
2015-12-23,3.35,3.35,3.35,3.35,3.362,3.3829,3.7184,3.0735,3.0735,3.0735,3.0735,3.0632,3.0937,3.428
